filename,person_count,notas
alto_1.png,12,aa2
alto_2.png,11,aa2
bajo_1.png,0,aa2
bajo_2.png,2,aa2
bajo_3.png,0,aa2
bajo_4.png,3,aa2
bajo_5.png,0,aa2
bajo_6.png,1,la persona está un poco lejos del paradero
bajo_7.png,1,aa2
bajo_8.png,2,aa2
bajo_9.png,2,aa2
bajo_10.png,0,aa2
bajo_11.png,2,hay autos tapando un poco el paradero
bajo_12.png,2,aa2
bajo_13.png,0,aa2
bajo_14.png,0,aa2
bajo_15.png,3,aa2
bajo_16.png,3,aa2
bajo_17.png,2,aa2
bajo_18.png,3,aa2
bajo_19.png,2,2 personas en el paradero y una en bici
bajo_20.png,1,aa2
bajo_21.png,3,aa2
bajo_22.png,0,aa2
bajo_23.png,2,hay una carpa al lado del paradero
bajo_24.png,0,aa2
bajo_25.png,1,aa2
bajo_26.png,2,aa2
bajo_27.png,1,la persona está un poco lejos del paradero
bajo_28.png,0,aa2
bajo_29.png,2,aa2
bajo_30.png,1,aa2
bajo_31.png,1,aa2
bajo_32.png,2,aa2
bajo_33.png,0,aa2
bajo_34.png,2,aa2
bajo_35.png,3,aa2
bajo_36.png,2,aa2
bajo_37.png,3,aa2
bajo_38.png,1,aa2
bajo_39.png,2,aa2
bajo_40.png,1,aa2
bajo_41.png,0,aa2
bajo_42.png,1,aa2
bajo_43.png,1,hay una persona caminando por detras del paradero
bajo_44.png,2,aa2
bajo_45.png,0,aa2
bajo_46.png,3,una de las personas es dificil de ver
bajo_47.png,1,aa2
bajo_48.png,1,la imagen tiene mucha luz
bajo_49.png,2,aa2
bajo_50.png,2,aa2
bajo_51.png,2,hay una persona caminando a lo lejos
bajo_52.png,1,aa2
bajo_53.png,0,aa2
bajo_54.png,2,aa2
bajo_55.png,0,hay algo tapando una parte del paradero
bajo_56.png,0,hay una persona pasando por detras del paradero
bajo_57.png,0,aa2
bajo_58.png,1,aa2
bajo_59.png,0,aa2
bajo_60.png,0,aa2
bajo_61.png,1,aa2
medio_1.png,5,aa2
medio_2.png,8,una de las personas está un poco tapada por parte del paradero
medio_3.png,4,una de las personas está un poco lejos del paradero
medio_4.png,8,2 de las personas están un poco tapadas y otra está lejos del paradero
medio_5.png,9,una de las personas está un poco lejos del paradero
medio_6.png,5,la imagen tiene mucha luz
medio_7.png,10,aa2
medio_8.png,10,una de las personas es poco visible
medio_9.png,5,aa2
medio_10.png,4,aa2
medio_11.png,2,2 personas están caminando en el fondo
medio_12.png,5,aa2
medio_13.png,3,aa2
medio_14.png,5,una persona va caminando por el fondo
medio_15.png,9,aa2
medio_16.png,6,aa2
medio_17.png,10,la imagen tiene mucha luz
medio_18.png,7,aa2
